127.0.0.1, 2014-07-07 00:55:05, GET, /, HTTP/1.1, 303, 0.020222
127.0.0.1, 2014-07-07 00:55:06, GET, /welcome/default/index, HTTP/1.1, 200, 1.201223
127.0.0.1, 2014-07-07 00:55:06, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000501
127.0.0.1, 2014-07-07 00:55:07, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000465
127.0.0.1, 2014-07-07 00:55:07, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000350
127.0.0.1, 2014-07-07 00:55:07, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000344
127.0.0.1, 2014-07-07 00:55:07, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000324
127.0.0.1, 2014-07-07 00:55:07, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000317
127.0.0.1, 2014-07-07 00:55:07, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000331
127.0.0.1, 2014-07-07 00:55:07, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000405
127.0.0.1, 2014-07-07 00:55:07, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000384
127.0.0.1, 2014-07-07 00:55:07, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000310
127.0.0.1, 2014-07-07 00:55:07, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000435
127.0.0.1, 2014-07-07 00:55:07, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000306
127.0.0.1, 2014-07-07 00:55:07, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000454
127.0.0.1, 2014-07-07 00:55:07, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000359
127.0.0.1, 2014-07-07 00:55:07, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000298
127.0.0.1, 2014-07-07 00:55:07, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000395
127.0.0.1, 2014-07-07 00:56:07, GET, /welcome/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000451
127.0.0.1, 2014-07-07 00:56:10, GET, /welcome/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000391
127.0.0.1, 2014-07-07 00:56:26, GET, /admin/default/index, HTTP/1.1, 200, 0.111983
127.0.0.1, 2014-07-07 00:56:26, GET, /admin/static/_2.9.5/js/jquery.js, HTTP/1.1, 200, 0.000519
127.0.0.1, 2014-07-07 00:56:26, GET, /admin/static/_2.9.5/css/calendar.css, HTTP/1.1, 200, 0.000458
127.0.0.1, 2014-07-07 00:56:26, GET, /admin/static/_2.9.5/js/calendar.js, HTTP/1.1, 200, 0.000476
127.0.0.1, 2014-07-07 00:56:26, GET, /admin/static/_2.9.5/js/web2py.js, HTTP/1.1, 200, 0.000381
127.0.0.1, 2014-07-07 00:56:26, GET, /admin/static/_2.9.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000330
127.0.0.1, 2014-07-07 00:56:26, GET, /admin/static/_2.9.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000332
127.0.0.1, 2014-07-07 00:56:26, GET, /admin/static/_2.9.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000312
127.0.0.1, 2014-07-07 00:56:26, GET, /admin/static/_2.9.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001833
127.0.0.1, 2014-07-07 00:56:26, GET, /admin/static/_2.9.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000461
127.0.0.1, 2014-07-07 00:56:26, GET, /admin/static/_2.9.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.000449
127.0.0.1, 2014-07-07 00:56:26, GET, /admin/static/_2.9.5/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000321
127.0.0.1, 2014-07-07 00:56:26, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000332
127.0.0.1, 2014-07-07 00:56:26, GET, /admin/static/_2.9.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000314
127.0.0.1, 2014-07-07 00:56:26, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000402
127.0.0.1, 2014-07-07 00:56:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000301
127.0.0.1, 2014-07-07 00:56:41, POST, /admin/default/index, HTTP/1.1, 303, 0.045272
127.0.0.1, 2014-07-07 00:56:41, GET, /admin/default/site, HTTP/1.1, 200, 0.055704
127.0.0.1, 2014-07-07 00:56:41, GET, /admin/static/_2.9.5/images/folder_locked.png, HTTP/1.1, 200, 0.000763
127.0.0.1, 2014-07-07 00:56:41, GET, /admin/static/_2.9.5/images/folder.png, HTTP/1.1, 200, 0.000392
127.0.0.1, 2014-07-07 00:56:41, GET, /admin/static/_2.9.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000448
127.0.0.1, 2014-07-07 00:56:41, POST, /admin/default/check_version, HTTP/1.1, 200, 0.310620
127.0.0.1, 2014-07-07 00:56:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000323
127.0.0.1, 2014-07-07 00:56:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000307
127.0.0.1, 2014-07-07 00:56:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000284
127.0.0.1, 2014-07-07 01:00:52, POST, /admin/default/site, HTTP/1.1, 303, 0.077780
127.0.0.1, 2014-07-07 01:00:52, GET, /admin/default/design/hello_world, HTTP/1.1, 200, 0.178863
127.0.0.1, 2014-07-07 01:00:52, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.000459
127.0.0.1, 2014-07-07 01:00:52, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.000339
127.0.0.1, 2014-07-07 01:00:52, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.000313
127.0.0.1, 2014-07-07 01:00:52, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.002406
127.0.0.1, 2014-07-07 01:00:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000308
127.0.0.1, 2014-07-07 01:03:09, GET, /admin/default/edit/hello_world/controllers/default.py, HTTP/1.1, 200, 0.076038
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000473
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000366
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000336
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.000392
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000322
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000325
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000460
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000358
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000350
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000329
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000317
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000530
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000401
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000382
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.000374
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000316
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000475
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000446
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.000353
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000316
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000312
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000322
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000317
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000478
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000327
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000320
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000311
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000314
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.000313
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000469
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.000324
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000342
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/js/ajax_editor.js, HTTP/1.1, 200, 0.000333
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/js/typeahead.min.js, HTTP/1.1, 200, 0.000345
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000335
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/images/files_toggle.png, HTTP/1.1, 200, 0.000464
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/_2.9.5/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000312
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/default/edit/hello_world/controllers/default.py, HTTP/1.1, 200, 0.079505
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.052157
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.093451
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.110821
127.0.0.1, 2014-07-07 01:03:10, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.000465
127.0.0.1, 2014-07-07 01:03:11, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.237680
127.0.0.1, 2014-07-07 01:03:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000331
127.0.0.1, 2014-07-07 01:04:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.040702
127.0.0.1, 2014-07-07 01:04:35, POST, /admin/default/edit/hello_world/controllers/default.py, HTTP/1.1, 200, 0.041710
127.0.0.1, 2014-07-07 01:04:51, GET, /admin/default/design/hello_world, HTTP/1.1, 200, 0.124916
127.0.0.1, 2014-07-07 01:04:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000331
127.0.0.1, 2014-07-07 01:05:07, GET, /admin/default/edit/hello_world/views/default/index.html, HTTP/1.1, 200, 0.057919
127.0.0.1, 2014-07-07 01:05:07, GET, /admin/default/edit/hello_world/views/default/index.html, HTTP/1.1, 200, 0.049515
127.0.0.1, 2014-07-07 01:05:07, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.050341
127.0.0.1, 2014-07-07 01:05:07, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.109797
127.0.0.1, 2014-07-07 01:05:07, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.157448
127.0.0.1, 2014-07-07 01:05:07, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.016642
127.0.0.1, 2014-07-07 01:05:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000308
127.0.0.1, 2014-07-07 01:05:53, POST, /admin/default/edit/hello_world/views/default/index.html, HTTP/1.1, 200, 0.041231
127.0.0.1, 2014-07-07 01:06:07, GET, /admin/default/design/hello_world, HTTP/1.1, 200, 0.119898
127.0.0.1, 2014-07-07 01:06:07, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.130171
